id,biz_name,biz_info,cat_primary,cat_sub,e_address,e_city,e_state,e_postal,e_zip_full,e_country,loc_county,loc_area_code,loc_FIPS,loc_MSA,loc_PMSA,loc_TZ,loc_DST,loc_LAT_centroid,loc_LAT_poly,loc_LONG_centroid,loc_LONG_poly,biz_phone,biz_phone_ext,biz_fax,biz_email,web_url,web_meta_title,web_meta_desc,web_meta_keys
11,"7 Eleven",,Beer,"Beer & Ale Retail","489 Main St",Springvale,ME,04083,04083-1432,USA,York,207,23031,,,EST,Y,43.4829,43.464237,-70.8287,-70.796139,"(207) 324-7857",,,,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
12,"7 Eleven Food Store",,Beer,"Beer & Ale Retail","1500 Edgewater Dr",Orlando,FL,32804,32804-5819,USA,Orange,407,12095,5960,,EST,Y,28.5768,28.564842,-81.3970,-81.389359,"(407) 841-0658",,,,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
13,"7 Eleven Food Store",,Beer,"Beer & Ale Retail","200 W Boston Ave","Las Vegas",NV,89102,89102-4714,USA,Clark,702,32003,4120,,PST,Y,36.1433,36.147376,-115.2004,-115.159037,"(702) 384-5888",,"(702) 384-2605",,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
14,"7 Eleven Food Store",,Beer,"Beer & Ale Retail","218 Cardiff Pl","Santa Cruz",CA,95060,95060-2437,USA,"Santa Cruz",831,06087,,7485,PST,Y,37.0412,36.975996,-122.1240,-122.050273,"(831) 429-1261",,,,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
15,"7 Eleven Food Store",,Beer,"Beer & Ale Retail","2403 S Eastern Ave","Las Vegas",NV,89104,89104-4102,USA,Clark,702,32003,4120,,PST,Y,36.1520,36.145257,-115.1093,-115.118691,"(702) 457-3999",,,,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
16,"7 Eleven Food Store",,Beer,"Beer & Ale Retail","3701 Sunset Ln",Antioch,CA,94509,94509-6101,USA,"Contra Costa",925,06013,,5775,PST,Y,37.9799,37.984892,-121.8022,-121.804259,"(925) 757-4131",,"(925) 757-4131",,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
17,"7 Eleven Food Store",,Beer,"Beer & Ale Retail","7700 W 95th St","Hickory Hills",IL,60457,60457-2205,USA,Cook,708,17031,,1600,CST,Y,41.7253,41.718684,-87.8309,-87.810781,"(708) 430-0018",,,,http://www.7-eleven.com,"Fast, convenient. 7-Eleven. Oh thank Heaven.","Visit 7-Eleven, home of Big Gulp fountain soft drinks, Big Bite hot dogs, Slurpee drinks, and other convenient, healthy and fast food items. Satisfy your snack attack or get a meal to go at a 7-Eleven near you.","Convenient food, healthy food, fast food, 7-eleven food, 7 eleven, seven eleven, 7 11, 7-eleven, 7-11 locator, 7eleven, 7-11 stores, seven eleven locations, 711 locations, 7-eleven store locator, 7-11.com, 7eleven.com, 7 11 stores, seven 11, www.7eleven.c"
18,"A & D Food Store No. 2",,Beer,"Beer & Ale Retail","1117 Clark Ave",Albany,GA,31705,31705-2218,USA,Dougherty,229,13095,0120,,EST,Y,31.4640,31.579969,-83.9850,-84.128105,"(229) 432-6294",,"(229) 432-6294",,,,,
20,"A & M Discount Beverage",,Beer,"Beer & Ale Retail","805 N Fiske Blvd",Cocoa,FL,32922,32922-7323,USA,Brevard,321,12009,4900,,EST,Y,28.3696,28.366280,-80.7478,-80.742617,"(321) 636-7748",,,,,,,
21,"A & M Drive Thru",,Beer,"Beer & Ale Retail","522 Wooster Ave",Akron,OH,44307,44307-2068,USA,Summit,330,39153,,0080,EST,Y,41.0707,41.072343,-81.5458,-81.541765,"(330) 384-1640",,,,,,,
22,"A & N Liquors",,Beer,"Beer & Ale Retail","1521 Ocean Ave","San Francisco",CA,94112,94112-1715,USA,"San Francisco",415,06075,,7360,PST,Y,37.7201,37.724368,-122.4431,-122.458496,"(415) 587-7700",,,,,,,
23,"A B Food & Liquor",,Beer,"Beer & Ale Retail","4808 N Broadway St",Chicago,IL,60640,60640-3604,USA,Cook,773,17031,,1600,CST,Y,41.9714,41.969356,-87.6603,-87.659659,"(773) 878-2291",,,,,,,
24,"A B Liquors",,Beer,"Beer & Ale Retail","1803 Columbia Rd NW",Washington,DC,20009,20009-2001,USA,"District of Columbia",202,11001,,8840,EST,Y,38.9197,38.922566,-77.0376,-77.042844,"(202) 234-5500",,,,,,,
25,"A Burmi N Sons INC",,Beer,"Beer & Ale Retail","3223 Battleground Ave",Greensboro,NC,27408,27408-2603,USA,Guilford,336,37081,3120,,EST,Y,36.1026,36.119891,-79.8146,-79.841967,"(336) 288-7764",,,,,,,
26,"A J Petroleum",,Beer,"Beer & Ale Retail","401 Us-27 N","Lake Placid",FL,33852,33852-7936,USA,Highlands,863,12055,,,EST,Y,27.2650,27.300838,-81.4012,-81.358430,"(863) 465-7711",,,,,,,
28,"AAA Food Mart",,Beer,"Beer & Ale Retail","9731 Midland Blvd",Overland,MO,63114,63114-3212,USA,"Saint Louis",314,29189,7040,,CST,Y,38.7020,38.706978,-90.3628,-90.372795,"(314) 426-1505",,,,,,,
29,"ABC Supermarket",,Beer,"Beer & Ale Retail","563 Eleanor Ave",Sacramento,CA,95815,95815-1612,USA,Sacramento,916,06067,,6920,PST,Y,38.6058,38.616736,-121.4470,-121.453218,"(916) 925-0124",,,,,,,
30,"Aberdeen Brewing Company",,Beer,"Beer & Ale Retail","210 Aberdeen Dr",Valparaiso,IN,46385,46385-7753,USA,Porter,219,18127,,2960,CST,Y,41.4883,41.439052,-87.0745,-87.106815,"(219) 548-3300",,"(219) 548-2733",staff@aberdeenbrewingco.com,,,,
31,"Acadian Brewery And Beer Garden",,Beer,"Beer & Ale Retail","201 N Carrollton Ave","New Orleans",LA,70119,70119-5108,USA,Orleans,504,22071,5560,,CST,Y,29.9762,29.975475,-90.0878,-90.099719,"(504) 483-3097",,,,,,,
32,"Ace Beverage",,Beer,"Beer & Ale Retail","3301 New Mexico Ave NW",Washington,DC,20016,20016-3602,USA,"District of Columbia",202,11001,,8840,EST,Y,38.9381,38.933546,-77.0912,-77.085849,"(202) 966-4444",,,,http://www.acebeverage.net,"Ace Beverage",,
